E_low_keV,E_high_keV,E_center_keV,pdf_kTe_40_keV,prob_per_bin_kTe_40_keV,expected_counts_kTe_40_keV,cdf_kTe_40_keV,pdf_kTe_100_keV,prob_per_bin_kTe_100_keV,expected_counts_kTe_100_keV,cdf_kTe_100_keV,pdf_kTe_160_keV,prob_per_bin_kTe_160_keV,expected_counts_kTe_160_keV,cdf_kTe_160_keV,pdf_kTe_300_keV,prob_per_bin_kTe_300_keV,expected_counts_kTe_300_keV,cdf_kTe_300_keV
2669.67,2674.6600000000003,2672.165,3.5132336420946156e-33,1.7531035874052962e-32,1.7531035874052962e-26,0.9999999999999996,5.124758504736329e-16,2.5572544938635495e-15,2.5572544938635497e-09,0.9999999999999518,9.297709648738828e-12,4.639557114720895e-11,4.6395571147208953e-05,0.9999999986154035,1.7798480284077644e-08,8.881441661755165e-08,0.08881441661755164,0.9999952027186804
2674.6600000000003,2679.65,2677.155,3.095412636062703e-33,1.5446109053952214e-32,1.5446109053952214e-26,0.9999999999999996,4.866221409465884e-16,2.42824448332337e-15,2.42824448332337e-09,0.9999999999999543,8.995414407979967e-12,4.488711789581807e-11,4.488711789581807e-05,0.9999999986602905,1.7472253087704068e-08,8.718654290763948e-08,0.08718654290763948,0.9999952899052232
2679.65,2684.6400000000003,2682.1450000000004,2.7272916213351318e-33,1.3609185190462952e-32,1.3609185190462953e-26,0.9999999999999996,4.620743212317612e-16,2.3057508629465977e-15,2.3057508629465976e-09,0.9999999999999566,8.702977889427449e-12,4.342785966824503e-11,4.342785966824503e-05,0.9999999987037184,1.7152064878157237e-08,8.558880374200867e-08,0.08558880374200867,0.999995375494027
2684.6400000000003,2689.63,2687.135,2.4029576046316856e-33,1.1990758447111586e-32,1.1990758447111587e-26,0.9999999999999996,4.387663433396894e-16,2.189444053264954e-15,2.189444053264954e-09,0.9999999999999588,8.420077483161993e-12,4.201618664097651e-11,4.201618664097651e-05,0.9999999987457345,1.683780256595641e-08,8.402063480411881e-08,0.08402063480411881,0.9999954595146617
2689.63,2694.62,2692.125,2.1172012250285567e-33,1.0564834112892036e-32,1.0564834112892036e-26,0.9999999999999996,4.1663550446922305e-16,2.079011167301332e-15,2.0790111673013322e-09,0.9999999999999609,8.146401175578332e-12,4.06505418661341e-11,4.0650541866134095e-05,0.9999999987863851,1.6529355208189812e-08,8.248148248886355e-08,0.08248148248886356,0.9999955419961443
2694.62,2699.61,2697.115,1.8654330060500276e-33,9.308510700190079e-33,9.30851070019008e-27,0.9999999999999996,3.956222773271486e-16,1.974155163862565e-15,1.974155163862565e-09,0.9999999999999629,7.881647199902558e-12,3.9329419527515626e-11,3.932941952751563e-05,0.9999999988257146,1.622661396711949e-08,8.09708036959301e-08,0.0809708036959301,0.999995622966948
2699.61,2704.6,2702.105,1.643609577742481e-33,8.201611792934622e-33,8.201611792934622e-27,0.9999999999999996,3.7567014906842994e-16,1.8745940438513834e-15,1.8745940438513836e-09,0.9999999999999648,7.625523698288969e-12,3.805136325446029e-11,3.805136325446029e-05,0.9999999988637659,1.592947206959919e-08,7.948806562729648e-08,0.07948806562729648,0.9999957024550136
2704.6,2709.59,2707.0950000000003,1.4481686815695105e-33,7.2263617210322e-33,7.2263617210322e-27,0.9999999999999996,3.5672546841836446e-16,1.780060087407723e-15,1.780060087407723e-09,0.9999999999999666,7.377748395110599e-12,3.681496449160363e-11,3.681496449160363e-05,0.9999999989005809,1.5637824767289594e-08,7.803274558877877e-08,0.07803274558877876,0.9999957804877592
2709.59,2714.58,2712.085,1.2759719123585205e-33,6.367099842668739e-33,6.367099842668739e-27,0.9999999999999996,3.3873730056028654e-16,1.6902991297957559e-15,1.6902991297957558e-09,0.9999999999999682,7.138048281071039e-12,3.561886092254293e-11,3.561886092254293e-05,0.9999999989361997,1.5351569297654146e-08,7.660433079529084e-08,0.07660433079529083,0.9999958570920899
2714.58,2719.57,2717.075,1.124254276076283e-33,5.6100288376209175e-33,5.6100288376209175e-27,0.9999999999999996,3.2165728939367774e-16,1.605069874074528e-15,1.605069874074528e-09,0.9999999999999698,6.9061593077770064e-12,3.4461734945808894e-11,3.44617349458089e-05,0.9999999989706615,1.5070604845720184e-08,7.520231818014729e-08,0.07520231818014729,0.9999959322944081
2719.57,2724.56,2722.065,9.905797519223981e-34,4.94299296209255e-33,4.94299296209255e-27,0.9999999999999996,3.054395267877238e-16,1.524143238670675e-15,1.524143238670675e-09,0.9999999999999714,6.681826092423785e-12,3.334231220119323e-11,3.334231220119323e-05,0.9999999990040038,1.4794832506590408e-08,7.382621420788291e-08,0.0738262142078829,0.9999960061206223
2724.56,2729.55,2727.0550000000003,8.728021438714562e-34,4.355282697918773e-33,4.355282697918773e-27,0.9999999999999996,2.900404284744184e-16,1.4473017380874164e-15,1.4473017380874164e-09,0.9999999999999728,6.464801632256863e-12,3.225936014496328e-11,3.225936014496328e-05,0.9999999990362631,1.4524155248689004e-08,7.247553469096157e-08,0.07247553469096156,0.999996078596157
2729.55,2734.54,2732.045,7.6903059192534215e-34,3.837462653707289e-33,3.837462653707289e-27,0.9999999999999996,2.754186162434835e-16,1.3743388950549226e-15,1.3743388950549227e-09,0.9999999999999741,6.254847028484402e-12,3.12116866721358e-11,3.12116866721358e-05,0.9999999990674748,1.4258477877727894e-08,7.114980460985908e-08,0.07114980460985908,0.9999961497459616
2734.54,2739.53,2737.035,6.775991883276613e-34,3.3812199497551904e-33,3.381219949755191e-27,0.9999999999999996,2.615348061185693e-16,1.3050586825317227e-15,1.3050586825317227e-09,0.9999999999999755,6.0517312193262894e-12,3.0198138784439616e-11,3.0198138784439617e-05,0.999999999097673,1.3997707001378993e-08,6.984855793688448e-08,0.06984855793688448,0.9999962195945196
2739.53,2744.52,2742.025,5.970402100506009e-34,2.979230648152368e-33,2.979230648152368e-27,0.9999999999999996,2.4835170221056326e-16,1.2392749940306564e-15,1.2392749940306564e-09,0.9999999999999767,5.855230721895998e-12,2.921760130225975e-11,2.9217601302259752e-05,0.9999999991268906,1.3741750994638033e-08,6.857133746324079e-08,0.06857133746324079,0.9999962881658571
2744.52,2749.51,2747.0150000000003,5.260605370549677e-34,2.625042079904413e-33,2.625042079904413e-27,0.9999999999999996,2.358338959592894e-16,1.17681114083691e-15,1.1768111408369098e-09,0.9999999999999779,5.665129382621437e-12,2.8268995619282312e-11,2.826899561928231e-05,0.9999999991551596,1.3490519965866226e-08,6.731769462967566e-08,0.06731769462967566,0.9999963554835517
2749.51,2754.5,2752.005,4.635208770841165e-34,2.31296917664964e-33,2.3129691766496402e-27,0.9999999999999996,2.2394777048961863e-16,1.1174993747431481e-15,1.1174993747431481e-09,0.999999999999979,5.4812181359208315e-12,2.7351278498243753e-11,2.7351278498243753e-05,0.9999999991825108,1.3243925723496304e-08,6.608718936024367e-08,0.06608718936024367,0.9999964215707411
2754.5,2759.4900000000002,2756.995,4.08417462907609e-34,2.0380031399090655e-33,2.0380031399090654e-27,0.9999999999999996,2.1266140982194742e-16,1.061180435011568e-15,1.061180435011568e-09,0.9999999999999801,5.303294770859436e-12,2.646344090658984e-11,2.6463440906589837e-05,0.9999999992089742,1.3001881743389383e-08,6.487938989951609e-08,0.0648793898995161,0.999996486450131
2759.4900000000002,2764.48,2761.985,3.5986592770758555e-34,1.7957309792607734e-33,1.7957309792607733e-27,0.9999999999999996,2.0194451269027637e-16,1.007703118324435e-15,1.007703118324435e-09,0.9999999999999811,5.131163705521673e-12,2.560450689055203e-11,2.5604506890552028e-05,0.9999999992345787,1.2764303136829952e-08,6.369387265277867e-08,0.06369387265277868,0.9999965501440036
2764.48,2769.4700000000003,2766.9750000000004,3.1708709934125185e-34,1.5822646257129218e-33,1.5822646257129219e-27,0.9999999999999996,1.9176831073365286e-16,9.56923870560973e-16,9.569238705609731e-10,0.9999999999999821,4.964635768842607e-12,2.4773532486525783e-11,2.4773532486525784e-05,0.9999999992593522,1.2531106619146353e-08,6.253022202954327e-08,0.06253022202954327,0.9999966126742256
