E_MeV,electron_dLdE_ph_per_MeV,electron_L_ph,alpha_dLdE_ph_per_MeV,alpha_L_ph,o16_dLdE_ph_per_MeV,o16_L_ph,alpha_over_electron_L,o16_over_electron_L
0.0178856616188,43577.2823075,763.624916941,19952.3386302,400.153684214,16566.1363054,339.585442128,0.524018631839,0.444701887792
0.018134978042,43600.5133516,774.492345036,19877.1784352,405.118760578,16492.5957765,343.706484546,0.523076519962,0.443782933104
0.0183877698008,43623.533785,785.517105181,19802.0856883,410.134056062,16419.2012749,347.866400078,0.522119828273,0.442850191019
0.0186440853397,43646.3452849,796.701418222,19727.0621264,415.200023474,16345.9541191,352.065509309,0.521148844445,0.441903957062
0.0189039737782,43668.7505527,808.047510179,19652.1094846,420.317119184,16272.8556149,356.304135072,0.520163868942,0.44094453678
0.0191674849206,43690.8411432,819.557623081,19577.2294967,425.485803148,16199.9070556,360.582602466,0.519165207138,0.43997223906
0.0194346692654,43712.7333704,831.234056476,19502.4238944,430.706538941,16127.1097225,364.901238864,0.518153143012,0.438987353829
0.019705578015,43734.4288086,843.079157159,19427.694408,435.979793778,16054.4648839,369.260373934,0.517127947092,0.43799015881
0.0199802630857,43755.9290232,855.095304723,19353.0427659,441.306038544,15981.9737958,373.660339646,0.516089886247,0.436980927836
0.0202587771174,43777.2355714,867.284912009,19278.4706948,446.685747825,15909.6377013,378.101470292,0.51503922372,0.43595993088
0.0205411734835,43798.3500013,879.650425575,19203.9799193,452.119399933,15837.4578311,382.5841025,0.513976219175,0.4349274341
0.0208275063019,43819.2738528,892.194326164,19129.5721627,457.607476936,15765.4354029,387.108575244,0.51290112873,0.433883699876
0.0211178304445,43840.0086568,904.91912918,19055.2491458,463.150464689,15693.5716215,391.675229864,0.511814204998,0.43282898685
0.0214122015482,43860.5559357,917.827385176,18981.012588,468.748852862,15621.8676789,396.284410079,0.510715697126,0.431763549965
0.0217106760254,43880.917203,930.921680339,18906.8642064,474.403134971,15550.3247544,400.936461999,0.509605850837,0.430687640504
0.0220133110749,43901.0939637,944.204636989,18832.8057166,480.11380841,15478.9440139,405.631734145,0.508484908464,0.429601506129
0.022320164693,43921.0877136,957.678914084,18758.838832,485.881374479,15407.7266106,410.37057746,0.507353108994,0.428505390924
0.022631295684,43940.8999402,971.347207731,18684.9652638,491.706338417,15336.6736844,415.153345326,0.506210688108,0.427399535431
0.0229467636723,43960.5321219,985.212251702,18611.1867218,497.589209437,15265.7863623,419.98039358,0.505057878215,0.426284176688
0.0232666291133,43979.9242633,999.276808134,18537.5049135,503.530500753,15195.0657579,424.852080529,0.503894913456,0.425159552459
0.0235909533051,43999.0830824,1013.54366836,18463.9215444,509.530729618,15124.5129718,429.768766962,0.502722029178,0.424025900786
0.0239197984002,44018.0683837,1028.01567263,18390.4383182,515.590417355,15054.1290912,434.730816172,0.501539452249,0.422883451824
0.0242532274176,44036.8815841,1042.69571035,18317.0569365,521.710089392,14983.9151902,439.738593966,0.500347401655,0.421732428358
0.0245913042547,44055.5240916,1057.5867113,18243.779099,527.890275296,14913.8723295,444.792468686,0.499146093326,0.420573049884
0.0249340936995,44073.9973058,1072.69164615,18170.6065036,534.131508809,14844.0015564,449.892811221,0.497935740177,0.419405532647
0.0252816614433,44092.3026175,1088.01352712,18097.540846,540.434327882,14774.3039049,455.039995023,0.496716552146,0.418230089681
0.025634074093,44110.4414088,1103.55540849,18024.5838202,546.799274714,14704.7803958,460.234396127,0.495488736232,0.417046930845
0.0259913991838,44128.4150535,1119.32038719,17951.7371182,553.226895788,14635.4320361,465.476393163,0.494252496532,0.415856262863
0.0263537051927,44146.2249162,1135.31160343,17879.0024301,559.717741908,14566.2598197,470.766367377,0.493008034283,0.414658289366
0.0267210615508,44163.8723534,1151.53224129,17806.3814441,566.272368237,14497.2647269,476.104702643,0.491755547896,0.413453210922
0.0270935386573,44181.3587126,1167.98552931,17733.8758468,572.891334337,14428.4477244,481.491785482,0.490495232996,0.412241225081
0.0274712078927,44198.6853328,1184.67474114,17661.4873227,579.57520421,14359.8097658,486.928005079,0.489227282461,0.41102252641
0.0278541416324,44215.8535444,1201.60319615,17589.2175547,586.324546333,14291.3517907,492.4137533,0.487951886455,0.409797306529
0.0282424132608,44232.864669,1218.77426008,17517.0682239,593.139933705,14223.0747256,497.949424708,0.48666923247,0.408565754151
0.0286360971851,44249.6677199,1236.19133537,17445.0410095,600.021943888,14154.9794831,503.53541658,0.485379509402,0.407328058509
0.0290352688498,44266.2375299,1253.85785599,17373.1375893,606.971159044,14087.0669625,509.172128928,0.484082909512,0.406084410999
0.029440004751,44282.6565669,1271.77731422,17301.3596394,613.988165987,14019.3380496,514.859964509,0.482779618036,0.404834996467
0.0298503824512,44298.9260879,1289.9532673,17229.708834,621.073556219,13951.7936165,520.599328851,0.481469811319,0.403579991653
0.030266480594,44315.0473418,1308.38932219,17158.1868459,628.227925982,13884.4345217,526.390630266,0.480153663232,0.402319570589
0.0306883789192,44331.0215691,1327.08913619,17086.7953465,635.451876299,13817.2616102,532.234279868,0.478831345212,0.401053904634
0.0311161582782,44346.8500019,1346.05641773,17015.5360054,642.746013024,13750.2757136,538.130691592,0.477503026292,0.399783162507
0.0315499006496,44362.5338642,1365.29492698,16944.410491,650.110946886,13683.4776498,544.080282211,0.47616887314,0.398507510324
0.0319896891543,44378.0743717,1384.80847669,16873.4204699,657.547293542,13616.868223,550.083471357,0.474829050089,0.397227111631
0.0324356080724,44393.4727319,1404.60093281,16802.5676077,665.055673625,13550.4482242,556.140681534,0.473483719177,0.395942127436
0.0328877428583,44408.7301438,1424.6762153,16731.8535684,672.636712794,13484.2184306,562.252338144,0.472133040175,0.39465271625
0.0333461801579,44423.8477986,1445.03829887,16661.2800147,680.291041787,13418.1796058,568.418869499,0.470777170624,0.393359034111
0.0338110078248,44438.8268792,1465.69121375,16590.848608,688.019296471,13352.3325002,574.640706841,0.469416265867,0.392061234625
0.0342823149373,44453.66856,1486.63904642,16520.5610085,695.822117901,13286.6778505,580.918284366,0.468050479082,0.390759468994
0.0347601918154,44468.3740078,1507.88594047,16450.4188752,703.700152368,13221.2163798,587.252039235,0.466679961316,0.389453886049
0.035244730038,44482.8991144,1529.43608636,16380.4238657,711.654051462,13155.9487979,593.642411602,0.465304864851,0.388144635069
0.0357360224607,44497.1715174,1551.29370359,16310.5776367,719.684472125,13090.8758012,600.089844624,0.463925348539,0.386831870222
0.0362341632332,44511.3141438,1573.4630815,16240.8818435,727.792076712,13025.9980724,606.594784488,0.462541565334,0.385515740166
0.036739247818,44525.3280893,1595.94859924,16171.3381404,735.977533048,12961.3162809,613.157680428,0.461153657079,0.384196383719
0.037251373008,44539.2144421,1618.75469712,16101.9481806,744.241514492,12896.8310829,619.778984743,0.459761763668,0.382873937507
0.0377706369454,44552.9742827,1641.88587747,16032.7136161,752.584699998,12832.543121,626.459152821,0.458366023074,0.381548535996
0.0382971391405,44566.6086839,1665.3467055,15963.6360979,761.007774177,12768.4530244,633.198643155,0.456966571384,0.38022031152
0.0388309804906,44580.1187111,1689.14181016,15894.7172757,769.511427366,12704.5614093,639.997917363,0.455563542824,0.378889394316
0.0393722632996,44593.505422,1713.27588504,15825.9587984,778.096355691,12640.8688783,646.857440214,0.454157069791,0.377555912544
0.0399210912975,44606.7698666,1737.75368928,15757.3623136,786.763261137,12577.3760208,653.777679643,0.452747282879,0.376219992324
0.04047756966,44619.9130877,1762.58004849,15688.9294678,795.512851615,12514.0834132,660.759106772,0.451334310913,0.37488175776
0.041041805029,44632.9361203,1787.75985565,15620.6619062,804.345841038,12450.9916184,667.802195934,0.449918280968,0.37354133097
0.0416139055332,44645.8399921,1813.29807206,15552.5612731,813.262949386,12388.1011863,674.907424692,0.448499318405,0.372198832112
0.0421939808081,44658.6257234,1839.19972831,15484.6292113,822.264902787,12325.4126537,682.075273859,0.447077546897,0.370854379413
0.0427821420177,44671.2943269,1865.46992523,15416.8673625,831.352433589,12262.9265443,689.306227522,0.44565308845,0.369508089195
0.0433785018756,44683.8119479,1892.11382447,15349.2773668,840.526280438,12200.6433687,696.600773061,0.444226065879,0.368160077926
0.0439831746665,44696.021636,1919.13660118,15281.8608632,849.78718836,12138.5636246,703.959401171,0.442796613767,0.366810471302
0.0445962762682,44708.121335,1946.54351281,15214.6194888,859.135908834,12076.6877967,711.382605887,0.441364861963,0.365459390559
0.0452179241737,44720.1119751,1974.33994977,15147.5548794,868.573199886,12015.0163566,718.870884601,0.439930924756,0.36410694353
