E_MeV,S_mass_MeV_cm2_g
2.00726730356,3357.79366424
2.03524752118,3379.33817418
2.06361776786,3401.18315455
2.0923834804,3423.33279406
2.12155017136,3445.79133973
2.15112343018,3468.56309769
2.18110892419,3491.652434
2.21151239973,3515.06377552
2.24233968322,3538.80161069
2.27359668233,3562.87049045
2.30528938705,3587.27502908
2.33742387089,3612.0199051
2.37000629201,3637.10986213
2.40304289441,3662.54970983
2.43654000913,3688.34432483
2.47050405546,3714.49865162
2.50494154217,3741.01770352
2.53985906878,3760.56413779
2.57526332677,3780.22318191
2.61116110092,3800.1563669
2.64755927057,3820.36751327
2.68446481096,3840.8604947
2.72188479458,3861.63923881
2.75982639247,3882.70772792
2.79829687566,3904.06999979
2.83730361652,3925.73014841
2.87685409019,3947.69232477
2.91695587602,3969.9607377
2.95761665899,3992.53965462
2.99884423123,4015.43340239
3.04064649347,4038.64636813
3.08303145657,4062.18300008
3.12600724307,4086.04780844
3.16958208873,4107.12676597
3.2137643441,4122.75144958
3.25856247615,4138.59398608
3.30398506987,4154.65741115
3.35004082991,4170.94480275
3.39673858227,4187.45928176
3.44408727597,4204.2040125
3.49209598479,4221.18220343
3.54077390897,4238.39710769
3.59013037701,4255.85202379
3.64017484745,4273.55029617
3.69091691066,4291.49531592
3.74236629072,4309.69052138
3.79453284724,4328.13939883
3.84742657726,4346.84548311
3.90105761719,4365.81235839
3.95543624473,4385.04365876
4.01057288086,4397.26723742
4.06647809178,4406.91053318
4.12316259103,4416.68826767
4.18063724146,4426.60231432
4.23891305734,4436.65457271
4.29800120649,4446.84696889
4.3579130124,4457.18145576
4.41865995639,4467.6600134
4.48025367983,4478.28464961
4.54270598637,4489.05740015
4.6060288442,4499.98032914
4.67023438833,4511.05552948
4.73533492292,4522.2851233
4.80134292365,4533.67126226
4.86827104012,4545.21612807
4.93613209824,4556.92193286
5.0049391027,4568.09687678
5.07470523949,4573.12181322
5.14544387839,4578.21679812
5.21716857555,4583.38280776
5.2898930761,4588.62083201
5.36363131674,4593.93187458
5.43839742846,4599.31695316
5.51420573924,4604.77709962
5.59107077676,4610.31336025
5.66900727121,4615.9267959
5.74803015813,4621.61848222
5.82815458123,4627.38950987
5.90939589534,4633.24098472
5.99176966931,4639.17402806
6.07529168902,4645.18977681
6.15997796038,4651.28938375
6.24584471244,4657.47401772
6.33290840046,4661.12839134
6.42118570906,4661.88002849
6.51069355548,4662.64214324
6.60144909273,4663.41488163
6.69346971296,4664.19839176
6.78677305072,4664.99282375
6.88137698642,4665.79832986
6.97729964967,4666.61506445
7.07455942282,4667.44318402
7.17317494447,4668.28284727
7.273165113,4669.13421512
7.37454909026,4669.99745071
7.47734630518,4670.87271947
7.58157645752,4671.76018914
7.68725952166,4672.66002978
7.7944157504,4673.57241385
7.90306567886,4674.49751618
8.0132301284,4672.20385236
8.12493021061,4669.26841642
8.2381873314,4666.29206172
8.35302319503,4663.27421785
8.46945980831,4660.2143065
8.58751948485,4657.11174126
8.70722484924,4653.96592757
8.8285988415,4650.77626254
8.95166472138,4647.54213493
9.07644607289,4644.26292494
9.20296680876,4640.93800416
9.33125117508,4637.56673538
9.46132375589,4634.14847254
9.59320947794,4630.68256057
9.72693361543,4627.16833526
9.86252179487,4623.60512314
10,4619.55620365
